time,event,tr
22.6238870621,trigger,0
24.6260240078,trigger,1
26.6093459129,trigger,2
28.6332199574,trigger,3
30.6115329266,trigger,4
32.6209559441,trigger,5
34.6270799637,trigger,6
35.3300609589,feedback,4
36.6155149937,trigger,7
37.2212860584,feedback,5
38.6362380981,trigger,8
39.2012310028,feedback,6
40.6299979687,trigger,9
41.2361469269,feedback,7
42.631387949,trigger,10
43.2527019978,feedback,8
44.639111042,trigger,11
45.2512381077,feedback,9
46.631870985,trigger,12
47.2218270302,feedback,10
48.6205770969,trigger,13
49.221075058,feedback,11
50.612965107,trigger,14
51.2059340477,feedback,12
52.6207079887,trigger,15
53.2376680374,feedback,13
54.6295599937,trigger,16
55.2271230221,feedback,14
56.6288239956,trigger,17
57.2251310349,feedback,15
58.6110010147,trigger,18
59.2313020229,feedback,16
60.6057710648,trigger,19
61.2707219124,feedback,17
62.6238949299,trigger,20
63.2181739807,feedback,18
64.6122179031,trigger,21
65.3082809448,feedback,19
66.6451361179,trigger,22
67.2342340946,feedback,20
68.6162660122,trigger,23
69.2135879993,feedback,21
70.6196389198,trigger,24
71.2104990482,feedback,22
72.6227788925,trigger,25
73.1999659538,feedback,23
74.6105821133,trigger,26
75.2366139889,feedback,24
76.6101260185,trigger,27
77.2401499748,feedback,25
78.625880003,trigger,28
79.2445099354,feedback,26
80.6071939468,trigger,29
81.3024148941,feedback,27
82.6190230846,trigger,30
83.2287960052,feedback,28
84.616300106,trigger,31
85.2221200466,feedback,29
86.6147639751,trigger,32
87.2394189835,feedback,30
88.6087179184,trigger,33
89.2792320251,feedback,31
90.6133730412,trigger,34
91.212857008,feedback,32
92.6182050705,trigger,35
93.2172300816,feedback,33
94.6394500732,trigger,36
95.2468209267,feedback,34
96.6244869232,trigger,37
97.2307229042,feedback,35
98.6276938915,trigger,38
99.2760009766,feedback,36
100.63022995,trigger,39
101.311872959,feedback,37
102.628875971,trigger,40
103.201446056,feedback,38
104.615494967,trigger,41
105.292736053,feedback,39
106.620610952,trigger,42
107.29272294,feedback,40
108.612812996,trigger,43
109.211127996,feedback,41
110.635909081,trigger,44
111.278585911,feedback,42
112.642064095,trigger,45
113.217331886,feedback,43
114.606945038,trigger,46
115.211082935,feedback,44
116.641125917,trigger,47
117.214596987,feedback,45
118.639090061,trigger,48
119.21022296,feedback,46
120.628665924,trigger,49
121.267011881,feedback,47
122.637900114,trigger,50
123.244946003,feedback,48
124.608619928,trigger,51
125.234354973,feedback,49
126.64209199,trigger,52
127.201508045,feedback,50
128.621622086,trigger,53
129.214349031,feedback,51
130.634596109,trigger,54
131.285552025,feedback,52
132.626173973,trigger,55
133.266597986,feedback,53
134.616009951,trigger,56
135.276351929,feedback,54
136.60871911,trigger,57
137.273077011,feedback,55
138.622811079,trigger,58
139.255163908,feedback,56
140.633804083,trigger,59
141.213995934,feedback,57
142.656025887,trigger,60
143.22665,feedback,58
144.629040956,trigger,61
145.252043009,feedback,59
146.630572081,trigger,62
147.224441051,feedback,60
148.627726078,trigger,63
149.231491089,feedback,61
150.635867119,trigger,64
151.241369009,feedback,62
152.611495018,trigger,65
153.236572981,feedback,63
154.638140917,trigger,66
155.264497995,feedback,64
156.630641937,trigger,67
157.264657021,feedback,65
158.62420392,trigger,68
159.247720003,feedback,66
160.618803978,trigger,69
161.331829071,feedback,67
162.624553919,trigger,70
163.231909037,feedback,68
164.620181084,trigger,71
165.249353886,feedback,69
166.641132116,trigger,72
167.239125013,feedback,70
168.623487949,trigger,73
169.21727705,feedback,71
170.641028881,trigger,74
171.245060921,feedback,72
172.641633034,trigger,75
173.205746889,feedback,73
174.64060092,trigger,76
175.277304888,feedback,74
176.615875006,trigger,77
177.224026918,feedback,75
178.615402937,trigger,78
179.224754095,feedback,76
180.629214048,trigger,79
181.243638992,feedback,77
182.644881964,trigger,80
183.252813101,feedback,78
184.618488073,trigger,81
185.228415966,feedback,79
186.619750977,trigger,82
187.259247065,feedback,80
188.626465082,trigger,83
189.231863976,feedback,81
190.62996006,trigger,84
191.241342068,feedback,82
192.629475117,trigger,85
193.277817011,feedback,83
194.628469944,trigger,86
195.230603933,feedback,84
196.622919083,trigger,87
197.225920916,feedback,85
198.645399094,trigger,88
199.249033928,feedback,86
200.617436886,trigger,89
201.301340103,feedback,87
202.636893034,trigger,90
203.262981892,feedback,88
204.623011112,trigger,91
205.259195089,feedback,89
206.640332937,trigger,92
207.30744791,feedback,90
208.617605925,trigger,93
209.236417055,feedback,91
210.611778021,trigger,94
211.237679958,feedback,92
212.640767097,trigger,95
213.263303041,feedback,93
214.618541956,trigger,96
215.279711962,feedback,94
216.634983063,trigger,97
217.296812057,feedback,95
218.638293982,trigger,98
219.232716084,feedback,96
220.64524889,trigger,99
221.232479095,feedback,97
222.63250494,trigger,100
223.234201908,feedback,98
224.635387897,trigger,101
225.238050938,feedback,99
226.61244607,trigger,102
227.245745897,feedback,100
228.633945942,trigger,103
229.220855951,feedback,101
230.632239103,trigger,104
231.248450041,feedback,102
232.61332798,trigger,105
233.314305067,feedback,103
234.640578032,trigger,106
235.265825987,feedback,104
236.625519037,trigger,107
237.244815111,feedback,105
238.641971111,trigger,108
239.241379023,feedback,106
240.621470928,trigger,109
241.298422098,feedback,107
242.641367912,trigger,110
243.273237944,feedback,108
244.64317894,trigger,111
245.344161034,feedback,109
246.645710945,trigger,112
247.284785032,feedback,110
248.61321497,trigger,113
249.250561953,feedback,111
250.633919954,trigger,114
251.303126097,feedback,112
252.629621983,trigger,115
253.23230195,feedback,113
254.622747898,trigger,116
255.227716923,feedback,114
256.618721008,trigger,117
257.248140097,feedback,115
258.631429911,trigger,118
259.273287058,feedback,116
260.62429595,trigger,119
261.2632761,feedback,117
262.620378017,trigger,120
263.266638041,feedback,118
264.632236958,trigger,121
265.232064962,feedback,119
266.6226511,trigger,122
267.272531986,feedback,120
268.630305052,trigger,123
269.241161108,feedback,121
270.624639988,trigger,124
271.299460888,feedback,122
272.625838041,trigger,125
273.233886003,feedback,123
274.623198032,trigger,126
275.258811951,feedback,124
276.620759964,trigger,127
277.332600117,feedback,125
278.640446901,trigger,128
279.262942076,feedback,126
280.622867107,trigger,129
281.321353912,feedback,127
282.619187117,trigger,130
283.341944933,feedback,128
284.614707947,trigger,131
285.234585047,feedback,129
286.626410007,trigger,132
287.230851889,feedback,130
288.646389008,trigger,133
289.333245039,feedback,131
290.624226093,trigger,134
291.284619093,feedback,132
292.648507118,trigger,135
293.279225111,feedback,133
294.642153025,trigger,136
295.280848026,feedback,134
296.655488968,trigger,137
297.306195974,feedback,135
298.658495903,trigger,138
299.242940903,feedback,136
300.62044096,trigger,139
301.382383108,feedback,137
302.613245964,trigger,140
303.303678036,feedback,138
304.613600969,trigger,141
305.315570116,feedback,139
306.622373104,trigger,142
307.244098902,feedback,140
308.615003109,trigger,143
309.282505035,feedback,141
310.642170906,trigger,144
311.297463894,feedback,142
312.618488073,trigger,145
313.248574018,feedback,143
314.646622896,trigger,146
315.248929977,feedback,144
316.632194042,trigger,147
317.303529978,feedback,145
318.617543936,trigger,148
319.289117098,feedback,146
320.624429941,trigger,149
321.316952944,feedback,147
322.618546963,trigger,150
323.257499933,feedback,148
324.629875898,trigger,151
325.274092913,feedback,149
326.637068987,trigger,152
327.353516102,feedback,150
328.649961948,trigger,153
329.251038074,feedback,151
330.642484903,trigger,154
331.250533104,feedback,152
332.643445969,trigger,155
333.284113884,feedback,153
