time,event,tr
470730.814737,startup,0
470756.498233,slc_18,0
470756.519005,slc_0,0
470756.528647,slc_25,0
470756.536547,slc_7,0
470756.537335,slc_32,0
470756.5381,slc_14,0
470756.538782,slc_21,0
470756.539552,slc_3,0
470756.540326,slc_10,0
470756.544378,slc_28,0
470756.567771,slc_17,0
470756.571833,slc_35,0
470756.587682,slc_24,0
470756.588512,slc_6,0
470756.603923,slc_31,0
470756.604529,slc_13,0
470756.615824,slc_20,0
470756.616738,slc_2,0
470756.651661,slc_9,0
470756.65378,slc_27,0
470756.654989,slc_34,0
470756.655642,slc_16,0
470756.673778,slc_5,0
470756.679977,slc_23,0
470756.78027,slc_12,0
470756.780974,slc_30,0
470756.874177,slc_19,0
470756.875226,slc_1,0
470756.981852,slc_26,0
470756.982775,slc_8,0
470757.091228,slc_33,0
470757.092861,slc_15,0
470757.201945,slc_22,0
470757.211324,slc_4,0
470757.320292,slc_29,0
470757.324269,slc_11,0
470757.32428,mc_start,0
470757.443286,slc_18,1
470757.444359,slc_0,1
470757.559309,slc_25,1
470757.560503,slc_7,1
470757.66837,slc_14,1
470757.669376,slc_32,1
470757.777262,slc_21,1
470757.778667,slc_3,1
470757.880495,slc_28,1
470757.881993,slc_10,1
470757.988314,slc_17,1
470757.989451,slc_35,1
470758.098951,slc_6,1
470758.100303,slc_24,1
470758.21041,slc_31,1
470758.21096,slc_13,1
470758.321091,slc_2,1
470758.321782,slc_20,1
470758.431552,slc_9,1
470758.432234,slc_27,1
470758.486491,mc_end,0
470758.540222,slc_16,1
470758.540983,slc_34,1
470758.660501,slc_5,1
470758.661347,slc_23,1
470758.763899,slc_12,1
470758.771699,slc_30,1
470758.868604,slc_1,1
470758.871255,slc_19,1
470758.978442,slc_26,1
470758.986116,slc_8,1
470759.09128,slc_33,1
470759.099785,slc_15,1
470759.206051,slc_4,1
470759.21616,slc_22,1
470759.309123,slc_29,1
470759.310714,slc_11,1
470759.310729,mc_start,1
470759.44767,slc_18,2
470759.44852,slc_0,2
470759.550081,slc_7,2
470759.550724,slc_25,2
470759.660556,slc_32,2
470759.661765,slc_14,2
470759.767816,slc_21,2
470759.768935,slc_3,2
470759.87869,slc_28,2
470759.879743,slc_10,2
470759.990854,slc_17,2
470759.991628,slc_35,2
470760.09977,slc_24,2
470760.100975,slc_6,2
470760.211009,slc_31,2
470760.212369,slc_13,2
470760.318859,slc_2,2
470760.319769,slc_20,2
470760.435947,slc_9,2
470760.437285,slc_27,2
470760.539473,slc_16,2
470760.540277,slc_34,2
470760.600081,mc_end,1
470760.647739,slc_23,2
470760.648793,slc_5,2
470760.760538,slc_12,2
470760.762419,slc_30,2
470760.871274,slc_19,2
470760.877276,slc_1,2
470760.980128,slc_8,2
470760.981089,slc_26,2
470761.095489,slc_15,2
470761.096052,slc_33,2
470761.19819,slc_4,2
470761.198885,slc_22,2
470761.309066,slc_29,2
470761.309772,slc_11,2
470761.309784,mc_start,2
470761.437723,slc_18,3
470761.441639,slc_0,3
470761.547526,slc_7,3
470761.549828,slc_25,3
470761.659745,slc_32,3
470761.660456,slc_14,3
470761.77037,slc_3,3
470761.770922,slc_21,3
470761.877096,slc_28,3
470761.877782,slc_10,3
470761.987338,slc_35,3
470761.989116,slc_17,3
470762.102018,slc_24,3
470762.102551,slc_6,3
470762.208259,slc_13,3
470762.210062,slc_31,3
470762.317931,slc_2,3
470762.318494,slc_20,3
470762.431884,slc_9,3
470762.432542,slc_27,3
470762.538259,slc_16,3
470762.539074,slc_34,3
470762.597167,mc_end,2
470762.648946,slc_23,3
470762.652854,slc_5,3
470762.758288,slc_30,3
470762.759004,slc_12,3
470762.871117,slc_1,3
