time,event,tr
471807.215948,trigger,0
471809.214523,trigger,1
471811.215488,trigger,2
471813.215442,trigger,3
471815.215097,trigger,4
471817.214757,trigger,5
471819.215302,trigger,6
471821.214187,trigger,7
471823.214558,trigger,8
471825.214861,trigger,9
471827.214587,trigger,10
471829.214543,trigger,11
471831.214975,trigger,12
471833.214873,trigger,13
471835.214771,trigger,14
471837.214779,trigger,15
471839.214893,trigger,16
471841.214565,trigger,17
471843.21455,trigger,18
471845.214966,trigger,19
471847.214891,trigger,20
471849.214859,trigger,21
471851.214274,trigger,22
471853.214264,trigger,23
471855.214397,trigger,24
471857.214476,trigger,25
471859.214722,trigger,26
471861.214199,trigger,27
471863.215075,trigger,28
471865.214557,trigger,29
471867.215028,trigger,30
471869.214399,trigger,31
471871.214607,trigger,32
471873.214832,trigger,33
471875.21498,trigger,34
471877.214937,trigger,35
471879.215141,trigger,36
471881.215206,trigger,37
471883.215275,trigger,38
471885.214378,trigger,39
471887.214756,trigger,40
471889.214588,trigger,41
471891.214918,trigger,42
471893.214398,trigger,43
471895.214612,trigger,44
471897.214109,trigger,45
471899.214299,trigger,46
471901.214258,trigger,47
471903.214466,trigger,48
471905.214682,trigger,49
471907.214325,trigger,50
471909.214597,trigger,51
471911.214449,trigger,52
471913.214321,trigger,53
471915.214461,trigger,54
471917.21445,trigger,55
471919.213588,trigger,56
471921.213842,trigger,57
471923.213716,trigger,58
471925.213886,trigger,59
471927.213729,trigger,60
471929.213979,trigger,61
471931.213957,trigger,62
471933.214021,trigger,63
471935.214054,trigger,64
471937.214099,trigger,65
471939.214266,trigger,66
471941.214306,trigger,67
471943.214231,trigger,68
471945.214659,trigger,69
471947.215005,trigger,70
471949.21492,trigger,71
471951.215014,trigger,72
471953.214297,trigger,73
471955.214105,trigger,74
471957.214117,trigger,75
471959.214159,trigger,76
471961.214479,trigger,77
471963.214367,trigger,78
471965.214006,trigger,79
471967.214051,trigger,80
471969.213989,trigger,81
471971.214128,trigger,82
471973.214218,trigger,83
471975.214245,trigger,84
471977.214229,trigger,85
471979.21436,trigger,86
471981.214621,trigger,87
471983.214479,trigger,88
471985.214443,trigger,89
471987.213594,trigger,90
471989.213651,trigger,91
471991.213694,trigger,92
471993.213815,trigger,93
471995.213898,trigger,94
471997.213886,trigger,95
471999.213932,trigger,96
472001.214022,trigger,97
472003.214063,trigger,98
472005.214145,trigger,99
472007.214181,trigger,100
472009.214214,trigger,101
472011.214316,trigger,102
472013.214362,trigger,103
472015.214433,trigger,104
472017.214544,trigger,105
472019.214724,trigger,106
472021.214683,trigger,107
472023.213742,trigger,108
472025.213814,trigger,109
472027.213912,trigger,110
472029.213932,trigger,111
472031.213915,trigger,112
472033.213985,trigger,113
472035.214151,trigger,114
472037.214093,trigger,115
472039.214232,trigger,116
472041.214315,trigger,117
472043.214334,trigger,118
472045.214489,trigger,119
472047.214182,trigger,120
472049.214448,trigger,121
472051.214315,trigger,122
472053.21453,trigger,123
472055.213417,trigger,124
472057.21365,trigger,125
472059.213563,trigger,126
472061.213896,trigger,127
472063.213691,trigger,128
472065.213916,trigger,129
472067.213792,trigger,130
472069.214115,trigger,131
472071.214057,trigger,132
472073.214291,trigger,133
472075.214317,trigger,134
472077.214359,trigger,135
472079.214337,trigger,136
472081.214487,trigger,137
472083.214382,trigger,138
472085.214585,trigger,139
472087.214396,trigger,140
472089.213637,trigger,141
472091.213659,trigger,142
472093.213742,trigger,143
472095.213781,trigger,144
472097.213912,trigger,145
472099.213739,trigger,146
472101.214084,trigger,147
472103.213852,trigger,148
472105.214204,trigger,149
472107.213984,trigger,150
472109.214284,trigger,151
472111.214094,trigger,152
472113.214325,trigger,153
472115.214226,trigger,154
472117.214551,trigger,155
472119.214305,trigger,156
472121.214635,trigger,157
472123.213458,trigger,158
472125.21369,trigger,159
